Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
boosting,"A machine learning technique that iteratively combines a set of simple and
not very accurate classifiers (referred to as ""weak"" classifiers) into a
classifier with high accuracy (a ""strong"" classifier) byupweightingthe examples that the model is currently
misclassifying.",,"['accuracy', 'class', 'machine learning', 'model', 'upweighting', 'weight']",,false,"(boosting|\s(\s|\.|\,))"
bidirectional language model,"Alanguage modelthat determines the probability that a
given token is present at a given location in an excerpt of text based on
theprecedingandfollowingtext.",,"['language model', 'model', 'token']",,false,"(bidirectional(\s|-)?language(\s|-)?model|\s(\s|\.|\,))"
bigram,AnN-gramin which N=2.,,"['N-gram']",,false,"(bigram|\s(\s|\.|\,))"
bounding box,"In an image, the (x,y) coordinates of a rectangle around an area of
interest, such as the dog in the image below.  ",,[],,false,"(bounding(\s|-)?box|\s(\s|\.|\,))"
calibration layer,"A post-prediction adjustment, typically to account forprediction bias. The adjusted predictions and
probabilities should match the distribution of an observed set of labels.",,"['distribution', 'label', 'prediction', 'prediction bias']",,false,"(calibration(\s|-)?layer|\s(\s|\.|\,))"
numerical data,"Featuresrepresented as integers or real-valued numbers.
For example, a house valuation model would probably represent the size
of a house (in square feet or square meters) as numerical data. Representing
a feature as numerical data indicates that the feature's values have
amathematicalrelationship to the label.
That is, the number of square meters in a house probably has some
mathematical relationship to the value of the house. Not all integer data should be represented as numerical data. For example,
postal codes in some parts of the world are integers; however, integer postal
codes shouldn't be represented as numerical data in models. That's because a
postal code of20000is not twice (or half) as potent as a postal code of
10000. Furthermore, although different postal codesdocorrelate to different
real estate values, we can't assume that real estate values at postal code
20000 are twice as valuable as real estate values at postal code 10000.
Postal codes should be represented ascategorical datainstead. Numerical features are sometimes calledcontinuous features. ",,"['categorical data', 'continuous feature', 'feature', 'label', 'model', 'state']",,false,"(numerical(\s|-)?data|\s(\s|\.|\,))"
outliers,"Values distant from most other values. In machine learning, any of the
following are outliers: For example, suppose thatwidget-priceis a feature of a certain model.
Assume that the meanwidget-priceis 7 Euros with a standard deviation
of 1 Euro. Examples containing awidget-priceof 12 Euros or 2 Euros
would therefore be considered outliers because each of those prices is
five standard deviations from the mean. Outliers are often caused by typos or other input mistakes. In other cases,
outliers aren't mistakes; after all, values five standard deviations away
from the mean are rare but hardly impossible. Outliers often cause problems in model training.Clippingis one way of managing outliers.",,"['clipping', 'feature', 'machine learning', 'model', 'model training', 'training']",,false,"(outliers|\s(\s|\.|\,))"
offline inference,"The process of a model generating a batch ofpredictionsand then caching (saving) those predictions. Apps can then access the inferred
prediction from the cache rather than rerunning the model. For example, consider a model that generates local weather forecasts
(predictions) once every four hours. After each model run, the system
caches all the local weather forecasts. Weather apps retrieve the forecasts
from the cache. Offline inference is also calledstatic inference. Contrast withonline inference.",,"['batch', 'inference', 'model', 'offline', 'online', 'online inference', 'prediction', 'static', 'static inference']",,false,"(offline(\s|-)?inference|\sstatic inference(\s|\.|\,))"
one-hot encoding,"Representing categorical data as a vector in which: One-hot encoding is commonly used to represent strings or identifiers that
have a finite set of possible values.
For example, suppose a certain categorical feature namedScandinaviahas five possible values: One-hot encoding could represent each of the five values as follows: Thanks to one-hot encoding, a model can learn different connections
based on each of the five countries. Representing a feature asnumerical datais an
alternative to one-hot encoding. Unfortunately, representing the
Scandinavian countries numerically is not a good choice. For example,
consider the following numeric representation: With numeric encoding, a model would interpret the raw numbers
mathematically and would try to train on those numbers.
However, Iceland isn't actually twice as much (or half as much) of
something as Norway, so the model would come to some strange conclusions. ",,"['categorical data', 'feature', 'model', 'numerical data', 'representation', 'vector']",,false,"(one(\s|-)?hot(\s|-)?encod|\s(\s|\.|\,))"
one-vs.-all,"Given a classification problem with N classes, a
solution consisting of N separatebinary classifiers—one binary classifier for
each possible outcome. For example, given a model that classifies examples
as animal, vegetable, or mineral, a one-vs.-all solution would provide the
following three separate binary classifiers:",,"['class', 'model']",,false,"(one(\s|-)?vs.(\s|-)?all|\s(\s|\.|\,))"
objective function,"The mathematical formula or metric that a model aims to optimize.
For example, the objective function for linear regression is usually Mean Squared Loss. Therefore, when training a
linear regression model, training aims to minimize Mean Squared Loss. In some cases, the goal is to maximize the objective function.
For example, if the objective function is accuracy, the goal is
to maximize accuracy. See also loss.",,"['accuracy', 'linear', 'linear regression', 'loss', 'metric', 'model', 'objective', 'regression model', 'squared loss', 'training']",,false,"(objective(\s|-)?funct|\s(\s|\.|\,))"
broadcasting,"Expanding the shape of an operand in a matrix math operation todimensionscompatible for that operation. For example,
linear algebra requires that the two operands in a matrix addition operation
must have the same dimensions. Consequently, you can't add a matrix of shape
(m, n) to a vector of length n. Broadcasting enables this operation by
virtually expanding the vector of length n to a matrix of shape (m, n) by
replicating the same values down each column. For example, given the following definitions, linear algebra prohibits
A+B because A and B have different dimensions: However, broadcasting enables the operation A+B by virtually expanding B to: Thus, A+B is now a valid operation: See the following description ofbroadcasting in NumPyfor more details.",,"['dimensions', 'linear', 'NumPy', 'replica', 'vector']",,false,"(broadcast|\s(\s|\.|\,))"
centroid,"The center of a cluster as determined by a k-means or k-median algorithm.  For instance, if k is 3, then the k-means or k-median algorithm finds 3 centroids.",,"['instance', 'k-means', 'k-median']",,false,"(centroid|\s(\s|\.|\,))"
pipelining,"A form of model parallelism in which a model's processing is divided into consecutive stages and each stage is executed
on a different device. While a stage is processing one batch, the preceding stage can work on the next batch. See also staged training. ",,"['batch', 'device', 'model', 'model parallelism', 'staged training', 'training']",,false,"(pipelin|\s(\s|\.|\,))"
